cell_id,node_id,f_veg,f_topo,ndmi_last,ndmi_fecha
r15c9,42.6_1.5,0.94885,1.02562,0.2165,2026-06-25
r15c8,42.6_1.5,0.963152,1.009736,0.2008,2026-06-25
r15c7,42.6_1.5,0.95887,1.049254,0.2055,2026-06-25
r15c6,42.6_1.5,0.978365,1.044739,0.1841,2026-06-25
r15c5,42.6_1.5,0.936734,1.013452,0.2298,2026-06-25
r15c4,42.6_1.5,0.95969,1.000596,0.2046,2026-06-25
r15c30,42.6_1.8,0.917149,0.984867,0.2513,2026-06-25
r15c3,42.6_1.5,1.01043,0.994572,0.1489,2026-06-25
r16c3,42.6_1.5,1.067821,0.995432,0.0859,2026-06-25
r9c9,42.5_1.5,1.020269,1.029185,0.1381,2026-06-25
